Year,Driver,Owner(s)/Team,Car No.,Manufacturer,Wins,Top-5,Top-10,Races,Points,Gap
2002,Tony Stewart,Joe Gibbs,20,Pontiac,2,3,21,0,4800,38
1971,Richard Petty,Petty Enterprises,43,Plymouth,9,21,41,0,4435,364
1990,Dale Earnhardt,Richard Childress,3,Chevrolet,4,9,23,0,4430,26
1994,Dale Earnhardt,Richard Childress,3,Chevrolet,2,4,25,0,4694,444
1980,Dale Earnhardt,Rod Osterlund,2,Chevrolet/Oldsmobile,0,5,24,0,4661,19
1976,Cale Yarborough,Junior Johnson,11,Chevrolet,2,9,23,0,4644,195
2001,Jeff Gordon,Rick Hendrick,24,Chevrolet,6,6,24,0,5112,349
1954,Lee Petty,Petty Enterprises,42,Chrysler/Dodge,3,7,32,37,8649,283
1955,Tim Flock,Carl Kiekhaefer,300,Chrysler,18,18,33,45,9596,1508
1967,Richard Petty,Petty Enterprises,43,Plymouth,18,27,40,49,42472,6028
1964,Richard Petty,Petty Enterprises,43,Plymouth,8,9,43,62,40252,5302
1965,Ned Jarrett,Bondy Long,11,Ford,9,13,45,55,38824,3034
1995,Jeff Gordon,Rick Hendrick,24,Chevrolet,8,7,23,0,4614,34
2010,Jimmie Johnson,Rick Hendrick,48,Chevrolet,2,6,23,0,6622,39
2011,Tony Stewart,Stewart‐Haas,14,Chevrolet,1,5,19,0,2403,0
1956,Buck Baker,Carl Kiekhaefer,00,Chrysler/Dodge,12,14,39,56,9272,704
